id,open,high,low,close
498,3359.585,3359.875,3359.545,3359.545
499,3359.535,3360.185,3359.475,3360.015
500,3360.045,3360.105,3359.295,3359.475
501,3359.345,3359.715,3358.765,3359.365
502,3359.415,3359.445,3358.805,3359.025
503,3358.975,3359.325,3357.855,3358.095
504,3358.075,3358.805,3357.575,3358.775
505,3358.735,3359.215,3358.685,3358.905
506,3358.765,3359.105,3358.455,3358.945
507,3358.915,3359.125,3358.695,3358.835
508,3358.805,3359.025,3358.315,3358.705
509,3358.765,3358.765,3358.015,3358.625
510,3358.645,3358.775,3357.985,3358.655
511,3358.655,3358.785,3357.875,3358.155
512,3358.075,3358.465,3357.965,3358.455
513,3358.475,3359.105,3358.005,3358.045
514,3358.005,3358.185,3357.385,3358.045
515,3358.025,3358.345,3358.005,3358.315
516,3358.285,3359.048,3358.135,3359.048
517,3359.048,3359.048,3358.755,3358.848
518,3358.848,3358.975,3358.405,3358.748
